Symbol,Benchmark
MSFT,QQQ
AAPL,QQQ
GOOGL,XLC
META,XLC
AMZN,QQQ
ORCL,XLK
CRM,XLK
NOW,XLK
ADBE,XLK
INTU,XLK
SNOW,XLK
DDOG,XLK
MDB,XLK
PANW,XLK
CRWD,XLK
ZS,XLK
NET,XLK
OKTA,XLK
PLTR,XLK
ANET,XLK
SHOP,XLK
SERVICE,XLK
CDNS,XLK
SNPS,XLK
AVGO,SMH
NVDA,SMH
AMD,SMH
TSM,SMH
ASML,SMH
AMAT,SMH
LRCX,SMH
KLAC,SMH
MU,SMH
MRVL,SMH
ARM,SMH
QCOM,SMH
NXPI,SMH
ON,SMH
MPWR,SMH
ADI,SMH
TXN,SMH
TER,SMH
WDC,XLK
STX,XLK
SMCI,XLK
META,XLC
GOOGL,XLC
NFLX,XLC
TTD,XLC
SPOT,XLC
LLY,XLV
UNH,XLV
NVO,XLV
REGN,XLV
MRK,XLV
AZN,XLV
VRTX,IBB
BIIB,IBB
GILD,IBB
ISRG,XLV
TMO,XLV
DHR,XLV
ABT,XLV
BSX,XLV
SYK,XLV
IDXX,XLV
HCA,XLV
MOH,XLV
MRNA,IBB
CSCO,XLK
HPE,XLK
CDW,XLK
TSLA,QQQ
QQQ,QQQ
XLK,XLK
SMH,SMH
XLC,XLC
XLV,XLV
IBB,IBB
