Symbol,Benchmark
MSFT,QQQ
AAPL,QQQ
GOOGL,XLC
META,XLC
AMZN,QQQ
ORCL,XLK
CRM,XLK
NOW,XLK
ADBE,XLK
INTU,XLK
WDAY,XLK
HUBS,XLK
TEAM,XLK
MNDY,XLK
SNOW,XLK
DDOG,XLK
MDB,XLK
ESTC,XLK
DT,XLK
GTLB,XLK
PLTR,XLK
PANW,XLK
CRWD,XLK
ZS,XLK
FTNT,XLK
S,XLK
OKTA,XLK
NET,XLK
ANET,XLK
CDNS,XLK
SNPS,XLK
ADSK,XLK
ANSS,XLK
PTC,XLK
U,XLK
ZM,XLK
DOCU,XLK
BILL,XLK
TOST,XLK
PSTG,XLK
CSCO,XLK
HPE,XLK
CDW,XLK
WDC,XLK
STX,XLK
SMCI,XLK
AVGO,SMH
NVDA,SMH
AMD,SMH
TSM,SMH
ASML,SMH
AMAT,SMH
LRCX,SMH
KLAC,SMH
MU,SMH
MRVL,SMH
ARM,SMH
QCOM,SMH
NXPI,SMH
ON,SMH
MPWR,SMH
ADI,SMH
TXN,SMH
TER,SMH
LSCC,SMH
SWKS,SMH
QRVO,SMH
ACLS,SMH
COHR,SMH
MCHP,SMH
AMBA,SMH
ENTG,SMH
KLIC,SMH
SPOT,XLC
NFLX,XLC
TTD,XLC
PINS,XLC
ROKU,XLC
SNAP,XLC
BIDU,XLC
BILI,XLC
LLY,XLV
UNH,XLV
NVO,XLV
REGN,XLV
MRK,XLV
AZN,XLV
AMGN,XLV
VRTX,IBB
BIIB,IBB
GILD,IBB
MRNA,IBB
ALNY,IBB
CRSP,IBB
NTLA,IBB
BEAM,IBB
BBIO,IBB
KRTX,IBB
EXEL,IBB
IONS,IBB
SRPT,IBB
HALO,IBB
DXCM,XLV
INSP,XLV
PODD,XLV
ISRG,XLV
TMO,XLV
DHR,XLV
ABT,XLV
BSX,XLV
SYK,XLV
IDXX,XLV
HCA,XLV
MOH,XLV
RGEN,XLV
ILMN,XLV
EXAS,IBB
ALGN,XLV
PATH,XLK
AI,XLK
CFLT,XLK
BASE,XLK
FROG,XLK
AKAM,XLK
FSLY,XLK
TWLO,XLK
PAYC,XLK
SQ,QQQ
PYPL,XLK
SE,QQQ
RBLX,XLC
DUOL,XLK
ZS,XLK
VRNS,XLK
RPD,XLK
QLYS,XLK
TENB,XLK
CHKP,XLK
SPLK,XLK
OKTA,XLK
ZS,XLK
NET,XLK
DOCN,XLK
DT,XLK
ESTC,XLK
PSTG,XLK
CDAY,XLK
APP,XLK
TTWO,QQQ
SHOP,XLK
ANET,XLK
PANW,XLK
CRWD,XLK
FTNT,XLK
S,XLK
ZS,XLK
CSGP,XLK
ZI,XLK
RNG,XLK
ZI,XLK
DDOG,XLK
MDB,XLK
SNOW,XLK
PLTR,XLK
U,XLK
MRVL,SMH
QCOM,SMH
NXPI,SMH
ON,SMH
MPWR,SMH
ADI,SMH
TXN,SMH
TER,SMH
MCHP,SMH
LSCC,SMH
SWKS,SMH
QRVO,SMH
ACLS,SMH
COHR,SMH
AMBA,SMH
ENTG,SMH
KLIC,SMH
ASML,SMH
TSM,SMH
ARM,SMH
AVGO,SMH
NVDA,SMH
AMD,SMH
AMAT,SMH
LRCX,SMH
KLAC,SMH
MU,SMH
CSCO,XLK
HPE,XLK
CDW,XLK
DOCU,XLK
BILL,XLK
TOST,XLK
HUBS,XLK
TEAM,XLK
MNDY,XLK
WDAY,XLK
INTU,XLK
ADBE,XLK
ORCL,XLK
CRM,XLK
NOW,XLK
MSFT,QQQ
AAPL,QQQ
AMZN,QQQ
GOOGL,XLC
META,XLC
TSLA,QQQ
QQQ,QQQ
XLK,XLK
SMH,SMH
XLC,XLC
XLV,XLV
IBB,IBB
